intent,snippet
"sort a list of tuples by second value, reverse=true and then by key, reverse=false","sorted(d, key=lambda x: (-x[1], x[0]))"
how to make a simple cross-platform webbrowser with python?,sys.exit(app.exec_())
request url 'https://www.reporo.com/' without verifying ssl certificates,"requests.get('https://www.reporo.com/', verify=False)"
how to create a comprehensible bar chart with matplotlib for more than 100 values?,"plt.savefig('foo.pdf', papertype='a2')"
find an element in a list of tuples,[item for item in a if item[0] == 1]
"how to do an inverse `range`, i.e. create a compact range based on a set of numbers?","['1-5', '7', '9-10']"
django: redirect to previous page after login,"return HttpResponseRedirect(request.META.get('HTTP_REFERER', '/'))"
write a comment `# data for class a\n` to a file object `f`,f.write('# Data for Class A\n')
showing a gtk.calendar in a menu?,gtk.main()
how to extract information between two unique words in a large text file,"re.findall('alpha(.*?)bravo', st)"
combinatorial explosion while merging dataframes in pandas,"from functools import reduce
reduce(lambda x, y: x.combine_first(y), [df1, df2, df3])"
how can i generate a list of consecutive numbers?,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
how to get all the keys with the same highest value?,"['e', 'd']"
python: changing idle's path in win7,sys.path.append('.')
pythonic way to create a long multi-line string,"""""""this is a verylong string toofor sure ..."""""""
boxplot with variable length data in matplotlib,plt.show()
read file 'myfile.txt' using universal newline mode 'u',"print(open('myfile.txt', 'U').read())"
how to download to a specific directory with python?,"urllib.request.urlretrieve('http://example.com/file.ext', '/path/to/dir/filename.ext')"
assigning a value to python list doesn't work?,l.append(input('e' + str(i) + '='))
get data from matplotlib plot,gca().get_lines()[n].get_xydata()
lxml removes spaces and line breaks in <head>,"etree.tostring(e, pretty_print=True)"
how can i extract only text in scrapy selector in python,"site = ''.join(hxs.select(""//h1[@class='state']/text()"").extract()).strip()"
drop rows of dataframe `df` whose index is smaller than the value of `start_remove` or bigger than the value of`end_remove`,df.query('index < @start_remove or index > @end_remove')
sum a list of numbers `list_of_nums`,sum(list_of_nums)
delete file `filename`,os.remove(filename)
sum of squares values in a list `l`,sum(i * i for i in l)
i want to create a column of value_counts in my pandas dataframe,df['Counts'] = df.groupby(['Color'])['Value'].transform('count')
how to get the size of a string in python?,print(len('abc'))
how to execute a command prompt command from python,os.system('dir c:\\')
applying regex to a pandas dataframe,df['Season'].apply(split_it)
detecting non-ascii characters in unicode string,"print(re.sub('[ -~]', '', '\xa3100 is worth more than \u20ac100'))"
is there a way to disable built-in deadlines on app engine dev_appserver?,urlfetch.set_default_fetch_deadline(60)
is it possible to make an option in optparse a mandatory?,"parser.add_option('-f', '--file', dest='filename', help='foo help')"
insert a new field 'geoloccountry' on an existing document  'b' using pymongo,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})"
fit kmeans function to a one-dimensional array `x` by reshaping it to be a multidimensional array of single values,"km.fit(x.reshape(-1, 1))"
sort dict by value python,"sorted(list(data.items()), key=lambda x: x[1])"
write a regex pattern to match even number of letter `a`,re.compile('^([^A]*)AA([^A]|AA)*$')
hex string to character in python,binascii.unhexlify('437c2123')
making an image from the list,img.save('Image2.png')
how to find a missing number from a list,a[-1] * (a[-1] + a[0]) / 2 - sum(a)
log message of level 'info' with value of `date` in the message,logging.info('date={}'.format(date))
replace value in any column in pandas dataframe,"df.replace('-', 'NaN')"
sorting dictionary keys in python,"sorted(mydict, key=lambda key: mydict[key])"
longest strings from list,longest_strings = [s for s in stringlist if len(s) == maxlength]
how do i plot a step function with matplotlib in python?,plt.show()
url encoding in python,urllib.parse.quote_plus('a b')
how to remove more than one space when reading text file,"reader = csv.reader(f, delimiter=' ', skipinitialspace=True)"
python parse comma-separated number into int,"int(a.replace(',', ''))"
"check if string `s` contains ""is""","if (s.find('is') == (-1)):
    print(""No 'is' here!"")
else:
    print(""Found 'is' in the string."")"
how to intergrate python's gtk with gevent?,gtk.main()
new column in pandas - adding series to dataframe by applying a list groupby,"df.join(df.groupby('Id').concat.apply(list).to_frame('new'), on='Id')"
python spliting a list based on a delimiter word,"[['A'], ['WORD', 'B', 'C'], ['WORD', 'D']]"
efficient feature reduction in a pandas data frame,df['Features'] = df['Features'].apply(frozenset)
"in python, how can i get the correctly-cased path for a file?",win32api.GetLongPathName(win32api.GetShortPathName('stopservices.vbs'))
execute raw sql queue '<sql here>' in database `db` in sqlalchemy-flask app,result = db.engine.execute('<sql here>')
boolean indexing that can produce a view to a large pandas dataframe?,idx = (df['C'] != 0) & (df['A'] == 10) & (df['B'] < 30)
how to get a response of multiple objects using rest_framework and django,"url('^combined/$', views.CombinedAPIView.as_view(), name='combined-list')"
how to convert hex string to integer in python?,"y = str(int(x, 16))"
make python program wait,time.sleep(1)
return http status code 204 from a django view,return HttpResponse(status=204)
spawning a thread in python,t.start()
django get all records of related models,Activity.objects.filter(list__topic=my_topic)
converting integer to binary in python,bin(6)[2:].zfill(8)
"append array of strings `['x', 'x', 'x']` into one string",""""""""""""".join(['x', 'x', 'x'])"
how to print like printf in python3?,"print('a=%d,b=%d' % (f(x, n), g(x, n)))"
using colormaps to set color of line in matplotlib,plt.show()
deleting rows in numpy array,"x = numpy.delete(x, 2, axis=1)"
get the index value in list `p_list` using enumerate in list comprehension,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
read excel file `file_name` using pandas,"dfs = pd.read_excel(file_name, sheetname=None)"
how to rearrange pandas column sequence?,"['a', 'b', 'x', 'y']"
google app engine (python) - uploading a file (image),imagedata.image = str(self.request.get('image'))
how to decode a unicode-like string in python 3?,"codecs.decode('\\u000D', 'unicode-escape')"
how can i convert literal escape sequences in a string to the corresponding bytes?,"""""""\\xc3\\x85a"""""".encode('utf-8').decode('unicode_escape')"
what's the equivalent of '*' for beautifulsoup - find_all?,soup.select('tr.colour.blue')
create a list of integers with duplicate values in python,"['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c', 'd', 'd', 'd', 'e', 'e', 'e']"
python float to in int conversion,int(float('20.0'))
how to check if a variable is empty in python?,return bool(value)
"how do you use pandas.dataframe columns as index, columns, and values?","df.pivot(index='a', columns='b', values='c')"
cannot insert data into an sqlite3 database using python,db.commit()
how can i perform a ping or traceroute using native python?,"webb.traceroute('your-web-page-url', 'file-name.txt')"
how do i capture sigint in python?,sys.exit()
search strings using regular expression in python,"results = [r for k in keywords for r in re.findall(k, message.lower())]"
how to draw a heart with pylab,pylab.savefig('heart.png')
checking if a variable belongs to a class in python,'b' in list(Foo.__dict__.values())
join pandas data frame `frame_1` and `frame_2` with left join by `county_id` and right join by `countyid`,"pd.merge(frame_1, frame_2, left_on='county_ID', right_on='countyid')"
how to check if a value exists in a dictionary (python),'one' in iter(d.values())
how to get the value of multiple maximas in an array in python,"[0, 16, 17, 18]"
remove list from list in python,new_list.append(fruit)
how to filter a numpy array with another array's values,a[f]
how do i run python code from sublime text 2?,"{'keys': ['ctrl+shift+c'], 'command': 'exec', 'args': {'kill': true}}"
removing letters from a list of both numbers and letters,""""""""""""".join([c for c in strs if c.isdigit()])"
get a name of function `my_function` as a string,my_function.__name__
tkinter - how to create a combo box with autocompletion ,root.mainloop()
how to transform an xml file using xslt in python?,"print(ET.tostring(newdom, pretty_print=True))"
"difference between using commas, concatenation, and string formatters in python","print('I am printing {x} and {y}'.format(x=x, y=y))"
numpy - efficient conversion from tuple to array?,"np.array(x).reshape(2, 2, 4)[:, :, (0)]"
replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)"
change the mode of file 'my_script.sh' to permission number 484,"os.chmod('my_script.sh', 484)"
"how can i print a string using .format(), and print literal curly brackets around my replaced string","""""""{{{0}:{1}}}"""""".format('hello', 'bonjour')"
split a string around any characters not specified,"re.split('[^\\d\\.]+', s)"
how to fetch only specific columns of a table in django?,"Entry.objects.values_list('id', 'headline')"
how to do many-to-many django query to find book with 2 given authors?,Book.objects.filter(Q(author__id=1) & Q(author__id=2))
fastest way to update a bunch of records in queryset in django,Entry.objects.all().update(value=not F('value'))
how to write unix end of line characters in windows using python,"f = open('file.txt', 'wb')"
django orm get latest for each group,Score.objects.values('student').annotate(latest_date=Max('date'))
python pandas how to select rows with one or more nulls from a dataframe without listing columns explicitly?,df[pd.isnull(df).any(axis=1)]
how can i know whether my subprocess is waiting for my input ?(in python3),pobj.stdin.flush()
how to set selenium python webdriver default timeout?,driver.get('http://www.google.com/')
how can i check the value of a dns txt record for a host?,"""""""google.com. 1700 IN TXT ""v=spf1 include:_netblocks.google.com ip4:216.73.93.70/31 ip4:216.73.93.72/31 ~all\"""""""""
how can i split a string into tokens?,"['x', '+', '13.5', '*', '10', 'x', '-', '4', 'e', '1']"
email datetime parsing with python,"print(dt.strftime('%a, %b %d, %Y at %I:%M %p'))"
numpy matrix vector multiplication,"np.einsum('ji,i->j', a, b)"
create a list containing words that contain vowel letter followed by the same vowel in file 'file.text',"[w for w in open('file.txt') if not re.search('[aeiou]{2}', w)]"
is there a python method to re-order a list based on the provided new indices?,L = [L[i] for i in ndx]
change nan values in dataframe `df` using preceding values in the frame,"df.fillna(method='ffill', inplace=True)"
get two random records from model 'mymodel' in django,MyModel.objects.order_by('?')[:2]
regular expression matching all but a string,"re.findall('-(?!aa|bb)([^-]+)', string)"
how can i convert a python dictionary to a list of tuples?,"[(v, k) for k, v in list(d.items())]"
numpy: how to check if array contains certain numbers?,"numpy.in1d(b, a).all()"
"sum of sums of each list, in a list of lists named 'lists'.",sum(sum(x) for x in lists)
how to convert a date string to different format,"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%-m/%d/%y')"
how to disable the minor ticks of log-plot in matplotlib?,"plt.xscale('log', subsx=[2, 3, 4, 5, 6, 7, 8, 9])"
